child,parent1,parent2
Cinnamoth,Helzephyr Lux,Croajiro
Cinnamoth,Menasting Terra,Shroomer Noct
Cinnamoth,Shroomer,Knocklem
Cinnamoth,Sootseer,Xenogard
Cinnamoth,Tarantriss,Cryolinx Terra
Cinnamoth,Dinossom,Cryolinx Terra
Cinnamoth,Celesdir,Bastigor
Cinnamoth,Dinossom Lux,Bastigor
Cinnamoth,Loupmoon Cryst,Bastigor
Cinnamoth,Foxcicle,Silvegis
Cinnamoth,Rayhound,Faleris Aqua
Cinnamoth,Kitsun Noct,Faleris Aqua
Cinnamoth,Shroomer Noct,Faleris Aqua
Cinnamoth,Shroomer,Xenolord
Cinnamoth,Blazehowl,Xenolord
Cinnamoth,Blazehowl,Warsect Terra
Cinnamoth,Katress,Warsect Terra
Cinnamoth,Vanwyrm Cryst,Starryon
Cinnamoth,Incineram Noct,Azurmane
Cinnamoth,Wumpo Botan,Gildane
Cinnamoth,Kingpaca,Gildane
Cinnamoth,Prixter,Omascul
Cinnamoth,Quivern,Omascul
Cinnamoth,Selyne,Omascul
Cinnamoth,Warsect,Nyafia
Cinnamoth,Quivern Botan,Nyafia
Cinnamoth,Elizabee,Nyafia
Cinnamoth,Relaxaurus,Nitemary
Cinnamoth,Warsect Terra,Nitemary
Cinnamoth,Relaxaurus Lux,Nitemary
Cinnamoth,Menasting,Splatterina
Cinnamoth,Lyleen,Splatterina
Cinnamoth,Lyleen,Kitsun Noct
Cinnamoth,Menasting Terra,Splatterina
Cinnamoth,Menasting Terra,Kitsun Noct
Cinnamoth,Pyrin Noct,Kitsun Noct
Cinnamoth,Reptyro Cryst,Prunelia
Cinnamoth,Beakon,Prunelia
Cinnamoth,Helzephyr Lux,Loupmoon Cryst
Cinnamoth,Cryolinx Terra,Celesdir
Cinnamoth,Astegon,Tarantriss
Cinnamoth,Astegon,Fenglope Lux
Cinnamoth,Orserk,Fenglope Lux
Cinnamoth,Cryolinx,Caprity Noct
Cinnamoth,Frostallion,Caprity Noct
Cinnamoth,Dumud Gild,Cryolinx
Cinnamoth,Dumud Gild,Frostallion
Cinnamoth,Celaray Lux,Astegon
Cinnamoth,Croajiro Noct,Beakon
Cinnamoth,Croajiro Noct,Silvegis
Cinnamoth,Croajiro Noct,Lyleen Noct
Cinnamoth,Polapup,Pyrin Noct
Cinnamoth,Polapup,Reptyro Cryst
Cinnamoth,Frostplume,Elizabee
Cinnamoth,Frostplume,Reptyro
Cinnamoth,Icelyn,Ragnahawk
Cinnamoth,Icelyn,Faleris
Cinnamoth,Ghangler,Wumpo
Cinnamoth,Ghangler,Sibelyx
Cinnamoth,Ghangler,Palumba
Cinnamoth,Ghangler Ignis,Wumpo Botan
Cinnamoth,Ghangler Ignis,Kingpaca
Cinnamoth,Ghangler Ignis,Azurobe Cryst
Cinnamoth,Penking Lux,Cinnamoth
Cinnamoth,Azurobe Cryst,Gildane
Cinnamoth,Azurobe Cryst,Azurobe
Cinnamoth,Palumba,Elphidran Aqua
Cinnamoth,Palumba,Penking
Cinnamoth,Whalaska,Elphidran
Cinnamoth,Whalaska,Elphidran Aqua
Cinnamoth,Whalaska Ignis,Surfent Terra
Cinnamoth,Whalaska Ignis,Sootseer
Cinnamoth,Braloha,Bushi Noct
Cinnamoth,Braloha,Nyafia
Cinnamoth,Braloha,Bushi
Cinnamoth,Neptilius,Dumud
Cinnamoth,Neptilius,Melpaca
Arsox,Vixy,Frostallion
Arsox,Vixy,Cryolinx
Arsox,Gumoss,Warsect
Arsox,Gumoss,Elizabee
Arsox,Jolthog Cryst,Lyleen Noct
Arsox,Jolthog Cryst,Beakon
Arsox,Jolthog,Lyleen Noct
Arsox,Jolthog,Grizzbolt
Arsox,Penking,Vaelet
Arsox,Penking,Direhowl
Arsox,Pengullet,Reptyro Cryst
Arsox,Pengullet,Beakon
Arsox,Rooby,Nitewing
Arsox,Tanzee,Reptyro
Arsox,Tanzee,Elizabee
Arsox,Fuack,Lyleen
Arsox,Fuack,Pyrin Noct
Arsox,Lifmunk,Orserk
Arsox,Lifmunk,Astegon
Arsox,Chikipi,Necromus
Arsox,Chikipi,Paladius
Arsox,Cattiva,Frostallion
Arsox,Lamball,Frostallion Noct
Arsox,Gobfin,Wumpo Botan
Arsox,Gobfin,Cinnamoth
Arsox,Bristla,Lyleen
Arsox,Bristla,Menasting
Arsox,Mozzarina,Blazehowl Noct
Arsox,Mozzarina,Vanwyrm
Arsox,Flopie,Mammorest Cryst
Arsox,Flopie,Mammorest
Arsox,Tocotoco,Reptyro Cryst
Arsox,Tocotoco,Pyrin Noct
Arsox,Direhowl,Grintale
Arsox,Celaray,Blazehowl
Arsox,Celaray,Katress
Arsox,Mau Cryst,Orserk
Arsox,Mau Cryst,Cryolinx
Arsox,Mau,Jetragon
Arsox,Mau,Frostallion Noct
Arsox,Killamari,Mammorest Cryst
Arsox,Killamari,Relaxaurus
Arsox,Fuddler,Quivern
Arsox,Fuddler,Pyrin
Arsox,Nox,Mossanda Lux
Arsox,Rushoar,Kingpaca Cryst
Arsox,Rushoar,Sibelyx
Arsox,Daedream,Quivern
Arsox,Daedream,Warsect
Arsox,Cremis,Frostallion
Arsox,Depresso,Grizzbolt
Arsox,Depresso,Helzephyr
Arsox,Teafant,Jetragon
Arsox,Teafant,Paladius
Arsox,Hoocrates,Helzephyr
Arsox,Galeclaw,Surfent Terra
Arsox,Loupmoon,Vanwyrm Cryst
Arsox,Leezpunk Ignis,Kingpaca Cryst
Arsox,Leezpunk,Wumpo
Arsox,Leezpunk,Sibelyx
Arsox,Cawgnito,Azurobe
Arsox,Dumud,Univolt
Arsox,Arsox,Petallia
Arsox,Arsox,Arsox
Arsox,Cinnamoth,Cawgnito
Arsox,Incineram Noct,Verdash
Arsox,Incineram Noct,Robinquill Terra
Arsox,Incineram,Fenglope
Arsox,Incineram,Verdash
Arsox,Ribbuny,Menasting
Arsox,Ribbuny,Relaxaurus Lux
Arsox,Nitewing,Wixen
Arsox,Nitewing,Maraith
Arsox,Eikthyrdeer Terra,Blazehowl Noct
Arsox,Eikthyrdeer Terra,Univolt
Arsox,Eikthyrdeer,Vanwyrm
Arsox,Melpaca,Univolt
Arsox,Caprity,Bushi
Arsox,Woolipop,Ragnahawk
Arsox,Mossanda Lux,Woolipop
Arsox,Mossanda,Maraith
Arsox,Mossanda,Leezpunk Ignis
Arsox,Hangyu Cryst,Astegon
Arsox,Hangyu,Astegon
Arsox,Gobfin Ignis,Wumpo Botan
Arsox,Gobfin Ignis,Kingpaca
Arsox,Lovander,Bushi
Arsox,Surfent,Felbat
Arsox,Dinossom,Tombat
Arsox,Lunaris,Wumpo
Arsox,Lunaris,Kingpaca
Arsox,Dazzi,Faleris
Arsox,Kitsun,Tombat
Arsox,Rayhound,Broncherry Aqua
Arsox,Rayhound,Kitsun
Arsox,Reindrix,Katress
Arsox,Pyrin,Dazzi
Arsox,Foxcicle,Dinossom Lux
Arsox,Foxcicle,Dinossom
Arsox,Chillet,Petallia
Arsox,Sweepa,Wixen
Arsox,Swee,Relaxaurus Lux
Arsox,Swee,Relaxaurus
Arsox,Beegarde,Azurobe
Arsox,Beegarde,Grintale
Arsox,Gorirat,Elphidran Aqua
Arsox,Gorirat,Elphidran
Arsox,Robinquill Terra,Anubis
Arsox,Robinquill,Surfent Terra
Arsox,Robinquill,Surfent
Arsox,Galeclaw,Elphidran
Arsox,Felbat,Anubis
Arsox,Blazehowl,Broncherry
Arsox,Kelpsea Ignis,Jormuntide
Arsox,Kelpsea Ignis,Mammorest
Arsox,Kelpsea,Jormuntide Ignis
Arsox,Kelpsea,Jormuntide
Arsox,Kelpsea,Reptyro
Arsox,Vaelet,Elphidran Aqua
Arsox,Foxparks,Helzephyr Lux
Arsox,Fuack,Menasting Terra
Arsox,Gumoss,Quivern Botan
Arsox,Hoocrates,Helzephyr Lux
Arsox,Daedream,Quivern Botan
Arsox,Daedream,Selyne
Arsox,Fuddler,Prixter
Arsox,Mozzarina,Dogen
Arsox,Bristla,Menasting Terra
Arsox,Mossanda,Wixen Noct
Arsox,Caprity,Bushi Noct
Arsox,Melpaca,Katress Ignis
Arsox,Eikthyrdeer,Bushi Noct
Arsox,Eikthyrdeer Terra,Dazemu
Arsox,Nitewing,Wixen Noct
Arsox,Ribbuny,Knocklem
Arsox,Arsox,Chillet Ignis
Arsox,Dumud,Dazemu
Arsox,Leezpunk Ignis,Xenogard
Arsox,Galeclaw,Sootseer
Arsox,Reindrix,Katress Ignis
Arsox,Lunaris,Xenovader
Arsox,Surfent Terra,Gorirat Terra
Arsox,Digtoise,Shroomer
Arsox,Digtoise,Shroomer Noct
Arsox,Ragnahawk,Mimog
Arsox,Sibelyx,Kikit
Arsox,Elphidran,Gorirat Terra
Arsox,Blazehowl Noct,Lullu
Arsox,Broncherry,Shroomer
Arsox,Broncherry Aqua,Shroomer Noct
Arsox,Petallia,Chillet Ignis
Arsox,Petallia,Croajiro
Arsox,Faleris,Mimog
Arsox,Gorirat Terra,Sootseer
Arsox,Lullu,Dogen
Arsox,Lullu,Dazemu
Arsox,Hangyu Cryst,Cryolinx Terra
Arsox,Hangyu,Cryolinx Terra
Arsox,Sparkit,Bastigor
Arsox,Sparkit,Cryolinx Terra
Arsox,Flambelle,Bastigor
Arsox,Foxparks,Bastigor
Arsox,Jolthog Cryst,Silvegis
Arsox,Fuack,Faleris Aqua
Arsox,Ribbuny,Xenolord
Arsox,Xenolord,Foxparks Cryst
Arsox,Warsect Terra,Foxparks Cryst
Arsox,Swee,Warsect Terra
Arsox,Dazzi,Starryon
Arsox,Nox,Azurmane
Arsox,Beegarde,Gildane
Arsox,Loupmoon,Omascul
Arsox,Yakumo,Omascul
Arsox,Lovander,Omascul
Arsox,Caprity,Nyafia
Arsox,Celaray,Nitemary
Arsox,Digtoise,Splatterina
Arsox,Broncherry Aqua,Kitsun Noct
Arsox,Tarantriss,Prunelia
Arsox,Dinossom,Prunelia
Arsox,Foxcicle,Celesdir
Arsox,Prunelia,Celesdir
Arsox,Tombat,Tarantriss
Arsox,Rayhound,Fenglope Lux
Arsox,Kitsun Noct,Fenglope Lux
Arsox,Splatterina,Caprity Noct
Arsox,Shroomer,Caprity Noct
Arsox,Xenovader,Dazzi Noct
Arsox,Wumpo,Dazzi Noct
Arsox,Faleris,Ribbuny Botan
Arsox,Starryon,Ribbuny Botan
Arsox,Elizabee,Smokie
Arsox,Relaxaurus Lux,Foxparks Cryst
Arsox,Knocklem,Foxparks Cryst
Arsox,Herbil,Cryolinx
Arsox,Jellroy,Helzephyr Lux
Arsox,Jelliette,Helzephyr
Arsox,Munchill,Faleris Aqua
Arsox,Munchill,Pyrin Noct
Arsox,Pengullet Lux,Relaxaurus Lux
Arsox,Pengullet Lux,Knocklem
Arsox,Pengullet Lux,Xenolord
Arsox,Pengullet Lux,Menasting
Arsox,Finsider,Relaxaurus
Arsox,Finsider,Warsect Terra
Arsox,Fuack Ignis,Mammorest Cryst
Arsox,Fuack Ignis,Relaxaurus
Arsox,Finsider Ignis,Reptyro
Arsox,Finsider Ignis,Jormuntide Ignis
Arsox,Killamari Primo,Elizabee
Arsox,Killamari Primo,Reptyro
Arsox,Gloopie,Ragnahawk
Arsox,Turtacle,Kingpaca
Arsox,Turtacle,Xenovader
Arsox,Turtacle Terra,Grintale
Arsox,Turtacle Terra,Gildane
Arsox,Turtacle Terra,Ghangler Ignis
Arsox,Dumud Gild,Splatterina
Arsox,Dumud Gild,Shroomer
Arsox,Celaray Lux,Tombat
Arsox,Celaray Lux,Rayhound
Arsox,Celaray Lux,Polapup
Arsox,Croajiro Noct,Celesdir
Arsox,Croajiro Noct,Dinossom Lux
Arsox,Croajiro Noct,Loupmoon Cryst
Arsox,Polapup,Fenglope Lux
Arsox,Polapup,Kitsun
Arsox,Polapup,Tarantriss
Arsox,Frostplume,Eikthyrdeer
Arsox,Ghangler,Vaelet
Arsox,Ghangler Ignis,Beegarde
Arsox,Penking Lux,Gobfin
Arsox,Penking Lux,Cawgnito
Arsox,Azurobe Cryst,Gobfin Ignis
Arsox,Azurobe Cryst,Gobfin
Arsox,Palumba,Kikit
Arsox,Palumba,Leezpunk
Arsox,Palumba,Dazzi Noct
Arsox,Whalaska,Rushoar
Arsox,Whalaska,Kikit
Arsox,Whalaska Ignis,Maraith
Arsox,Whalaska Ignis,Wixen Noct
Arsox,Whalaska Ignis,Leezpunk Ignis
Arsox,Braloha,Smokie
Arsox,Braloha,Gumoss
Arsox,Neptilius,Teafant
Arsox,Neptilius,Mau
Dumud,Hoocrates,Sweepa
Dumud,Vixy,Quivern
Dumud,Vixy,Warsect
Dumud,Gumoss,Surfent Terra
Dumud,Gumoss,Surfent
Dumud,Jolthog Cryst,Kingpaca Cryst
Dumud,Jolthog Cryst,Mossanda
Dumud,Jolthog,Nitewing
Dumud,Jolthog,Mossanda
Dumud,Penking,Kelpsea Ignis
Dumud,Penking,Flopie
Dumud,Pengullet,Kingpaca Cryst
Dumud,Pengullet,Sibelyx
Dumud,Rooby,Bushi
Dumud,Tanzee,Elphidran
Dumud,Tanzee,Surfent Terra
Dumud,Sparkit,Ragnahawk
Dumud,Sparkit,Mossanda Lux
Dumud,Fuack,Wumpo
Dumud,Fuack,Kingpaca
Dumud,Foxparks,Mossanda Lux
Dumud,Lifmunk,Faleris
Dumud,Lifmunk,Pyrin
Dumud,Chikipi,Mammorest Cryst
Dumud,Chikipi,Mammorest
Dumud,Cattiva,Warsect
Dumud,Cattiva,Elizabee
Dumud,Lamball,Jormuntide Ignis
Dumud,Lamball,Reptyro
Dumud,Lamball,Elizabee
Dumud,Gobfin,Blazehowl
Dumud,Gobfin,Katress
Dumud,Bristla,Wumpo Botan
Dumud,Bristla,Kingpaca
Dumud,Mozzarina,Reindrix
Dumud,Mozzarina,Melpaca
Dumud,Flopie,Grintale
Dumud,Tocotoco,Wumpo
Dumud,Tocotoco,Sibelyx
Dumud,Direhowl,Rayhound
Dumud,Celaray,Eikthyrdeer
Dumud,Celaray,Caprity
Dumud,Mau Cryst,Quivern
Dumud,Mau Cryst,Pyrin
Dumud,Mau,Jormuntide Ignis
Dumud,Mau,Jormuntide
Dumud,Mau,Reptyro
Dumud,Killamari,Azurobe
Dumud,Killamari,Grintale
Dumud,Fuddler,Anubis
Dumud,Fuddler,Incineram Noct
Dumud,Nox,Vanwyrm Cryst
Dumud,Rushoar,Blazehowl Noct
Dumud,Rushoar,Vanwyrm
Dumud,Daedream,Anubis
Dumud,Daedream,Surfent
Dumud,Cremis,Warsect
Dumud,Cremis,Elizabee
Dumud,Depresso,Sweepa
Dumud,Depresso,Nitewing
Dumud,Teafant,Jormuntide
Dumud,Teafant,Mammorest
Dumud,Galeclaw,Foxcicle
Dumud,Loupmoon,Broncherry Aqua
Dumud,Loupmoon,Digtoise
Dumud,Leezpunk Ignis,Vanwyrm
Dumud,Leezpunk,Blazehowl Noct
Dumud,Leezpunk,Univolt
Dumud,Cawgnito,Blazehowl
Dumud,Dumud,Dumud
Dumud,Arsox,Felbat
Dumud,Arsox,Robinquill Terra
Dumud,Cinnamoth,Swee
Dumud,Incineram Noct,Dazzi
Dumud,Incineram,Dazzi
Dumud,Ribbuny,Wumpo Botan
Dumud,Ribbuny,Cinnamoth
Dumud,Eikthyrdeer,Reindrix
Dumud,Melpaca,Dumud
Dumud,Melpaca,Eikthyrdeer Terra
Dumud,Caprity,Broncherry
Dumud,Mossanda Lux,Flambelle
Dumud,Hangyu Cryst,Faleris
Dumud,Hangyu,Faleris
Dumud,Hangyu,Ragnahawk
Dumud,Gobfin Ignis,Katress
Dumud,Flambelle,Ragnahawk
Dumud,Lovander,Broncherry
Dumud,Tombat,Vaelet
Dumud,Digtoise,Lovander
Dumud,Maraith,Bushi
Dumud,Dinossom Lux,Fenglope
Dumud,Dinossom Lux,Verdash
Dumud,Dinossom,Fenglope
Dumud,Rayhound,Vaelet
Dumud,Univolt,Lunaris
Dumud,Chillet,Verdash
Dumud,Swee,Azurobe
Dumud,Gorirat,Tombat
Dumud,Gorirat,Foxcicle
Dumud,Robinquill Terra,Chillet
Dumud,Robinquill,Petallia
Dumud,Petallia,Felbat
Dumud,Elphidran Aqua,Kelpsea Ignis
Dumud,Elphidran Aqua,Kelpsea
Dumud,Elphidran,Kelpsea
Dumud,Bushi,Wixen
Dumud,Cattiva,Quivern Botan
Dumud,Lifmunk,Prixter
Dumud,Fuack,Xenovader
Dumud,Tanzee,Sootseer
Dumud,Pengullet,Xenogard
Dumud,Jolthog Cryst,Xenogard
Dumud,Gumoss,Sootseer
Dumud,Vixy,Quivern Botan
Dumud,Vixy,Selyne
Dumud,Cremis,Quivern Botan
Dumud,Cremis,Selyne
Dumud,Rushoar,Dogen
Dumud,Mau Cryst,Selyne
Dumud,Mau Cryst,Prixter
Dumud,Direhowl,Shroomer Noct
Dumud,Bristla,Xenovader
Dumud,Gobfin Ignis,Katress Ignis
Dumud,Melpaca,Lullu
Dumud,Incineram,Mimog
Dumud,Dumud,Lullu
Dumud,Cawgnito,Shroomer
Dumud,Leezpunk,Dogen
Dumud,Leezpunk,Dazemu
Dumud,Leezpunk Ignis,Bushi Noct
Dumud,Robinquill Terra,Chillet Ignis
Dumud,Robinquill Terra,Croajiro
Dumud,Beegarde,Shroomer
Dumud,Beegarde,Shroomer Noct
Dumud,Foxcicle,Gorirat Terra
Dumud,Reindrix,Lullu
Dumud,Lunaris,Katress Ignis
Dumud,Lunaris,Dazemu
Dumud,Maraith,Bushi Noct
Dumud,Digtoise,Yakumo
Dumud,Vanwyrm,Kikit
Dumud,Bushi,Wixen Noct
Dumud,Verdash,Croajiro
Dumud,Blazehowl Noct,Kikit
Dumud,Broncherry Aqua,Yakumo
Dumud,Felbat,Chillet Ignis
Dumud,Bushi Noct,Wixen Noct
Dumud,Kikit,Dogen
Dumud,Kikit,Dazemu
Dumud,Lifmunk,Starryon
Dumud,Hangyu Cryst,Starryon
Dumud,Hangyu,Starryon
Dumud,Foxparks,Azurmane
Dumud,Hoocrates,Azurmane
Dumud,Killamari,Gildane
Dumud,Flopie,Gildane
Dumud,Wixen,Omascul
Dumud,Rooby,Omascul
Dumud,Rooby,Nyafia
Dumud,Maraith,Nyafia
Dumud,Wixen Noct,Nyafia
Dumud,Leezpunk Ignis,Nyafia
Dumud,Gobfin,Nitemary
Dumud,Cawgnito,Nitemary
Dumud,Beegarde,Splatterina
Dumud,Direhowl,Splatterina
Dumud,Direhowl,Kitsun Noct
Dumud,Vaelet,Kitsun Noct
Dumud,Gorirat,Prunelia
Dumud,Galeclaw,Prunelia
Dumud,Gorirat Terra,Prunelia
Dumud,Verdash,Loupmoon Cryst
Dumud,Fenglope,Celesdir
Dumud,Fenglope,Loupmoon Cryst
Dumud,Loupmoon,Fenglope Lux
Dumud,Yakumo,Caprity Noct
Dumud,Lovander,Caprity Noct
Dumud,Caprity,Caprity Noct
Dumud,Univolt,Dazzi Noct
Dumud,Dazemu,Dazzi Noct
Dumud,Blazehowl Noct,Dazzi Noct
Dumud,Incineram,Ribbuny Botan
Dumud,Incineram Noct,Ribbuny Botan
Dumud,Surfent Terra,Smokie
Dumud,Sootseer,Smokie
Dumud,Elphidran,Smokie
Dumud,Cinnamoth,Foxparks Cryst
Dumud,Wumpo Botan,Foxparks Cryst
Dumud,Herbil,Prixter
Dumud,Herbil,Quivern
Dumud,Herbil,Selyne
Dumud,Herbil,Warsect
Dumud,Herbil,Quivern Botan
Dumud,Jellroy,Azurmane
Dumud,Jellroy,Mossanda Lux
Dumud,Jelliette,Sweepa
Dumud,Jelliette,Azurmane
Dumud,Munchill,Xenovader
Dumud,Munchill,Wumpo
Dumud,Munchill,Sibelyx
Dumud,Munchill,Palumba
Dumud,Pengullet Lux,Cinnamoth
Dumud,Pengullet Lux,Wumpo Botan
Dumud,Pengullet Lux,Penking Lux
Dumud,Pengullet Lux,Azurobe Cryst
Dumud,Finsider,Gildane
Dumud,Finsider,Azurobe
Dumud,Finsider,Cinnamoth
Dumud,Finsider,Ghangler Ignis
Dumud,Finsider,Penking Lux
Dumud,Fuack Ignis,Grintale
Dumud,Fuack Ignis,Gildane
Dumud,Fuack Ignis,Azurobe
Dumud,Fuack Ignis,Ghangler Ignis
Dumud,Finsider Ignis,Sootseer
Dumud,Finsider Ignis,Elphidran
Dumud,Finsider Ignis,Elphidran Aqua
Dumud,Killamari Primo,Surfent Terra
Dumud,Killamari Primo,Sootseer
Dumud,Killamari Primo,Elphidran
Dumud,Gloopie,Incineram
Dumud,Gloopie,Icelyn
Dumud,Turtacle,Katress Ignis
Dumud,Turtacle,Univolt
Dumud,Turtacle Terra,Kitsun Noct
Dumud,Turtacle Terra,Shroomer Noct
Dumud,Turtacle Terra,Splatterina
Dumud,Turtacle Terra,Shroomer
Dumud,Dumud Gild,Yakumo
Dumud,Dumud Gild,Lovander
Dumud,Dumud Gild,Caprity
Dumud,Croajiro Noct,Galeclaw
Dumud,Croajiro Noct,Gorirat Terra
Dumud,Croajiro Noct,Robinquill
Dumud,Polapup,Vaelet
Dumud,Polapup,Gorirat
Dumud,Frostplume,Leezpunk Ignis
Dumud,Frostplume,Rushoar
Dumud,Icelyn,Woolipop
Dumud,Icelyn,Nox
Dumud,Ghangler,Kelpsea Ignis
Dumud,Ghangler,Kelpsea
Dumud,Ghangler Ignis,Killamari
Dumud,Ghangler Ignis,Flopie
Dumud,Penking Lux,Ribbuny
Dumud,Penking Lux,Foxparks Cryst
Dumud,Penking Lux,Swee
Dumud,Azurobe Cryst,Bristla
Dumud,Azurobe Cryst,Ribbuny
Dumud,Azurobe Cryst,Foxparks Cryst
Dumud,Palumba,Tocotoco
Dumud,Palumba,Fuack
Dumud,Whalaska,Pengullet
Dumud,Whalaska,Tocotoco
Dumud,Whalaska Ignis,Jolthog
Dumud,Whalaska Ignis,Jolthog Cryst
Dumud,Braloha,Cattiva
Dumud,Braloha,Cremis
Dumud,Braloha,Vixy
Dumud Gild,Eikthyrdeer Terra,Dumud
Dumud Gild,Dumud Gild,Dumud Gild
Cawgnito,Vixy,Blazehowl
Cawgnito,Vixy,Katress
Cawgnito,Gumoss,Eikthyrdeer
Cawgnito,Gumoss,Mozzarina
Cawgnito,Jolthog Cryst,Chillet
Cawgnito,Jolthog Cryst,Arsox
Cawgnito,Jolthog,Petallia
Cawgnito,Jolthog,Arsox
Cawgnito,Pengullet,Dinossom Lux
Cawgnito,Pengullet,Chillet
Cawgnito,Rooby,Felbat
Cawgnito,Rooby,Robinquill Terra
Cawgnito,Tanzee,Eikthyrdeer Terra
Cawgnito,Tanzee,Mozzarina
Cawgnito,Sparkit,Tombat
Cawgnito,Sparkit,Rayhound
Cawgnito,Fuack,Dinossom
Cawgnito,Fuack,Kitsun
Cawgnito,Foxparks,Tombat
Cawgnito,Chikipi,Vanwyrm
Cawgnito,Cattiva,Katress
Cawgnito,Lamball,Univolt
Cawgnito,Gobfin,Beegarde
Cawgnito,Bristla,Broncherry Aqua
Cawgnito,Bristla,Kitsun
Cawgnito,Flopie,Reindrix
Cawgnito,Tocotoco,Dinossom Lux
Cawgnito,Tocotoco,Dinossom
Cawgnito,Direhowl,Gobfin Ignis
Cawgnito,Direhowl,Gobfin
Cawgnito,Celaray,Flopie
Cawgnito,Mau Cryst,Blazehowl
Cawgnito,Mau,Blazehowl Noct
Cawgnito,Mau,Univolt
Cawgnito,Killamari,Broncherry
Cawgnito,Killamari,Celaray
Cawgnito,Fuddler,Lovander
Cawgnito,Fuddler,Caprity
Cawgnito,Nox,Fenglope
Cawgnito,Rushoar,Robinquill
Cawgnito,Rushoar,Galeclaw
Cawgnito,Daedream,Eikthyrdeer
Cawgnito,Daedream,Caprity
Cawgnito,Cremis,Blazehowl
Cawgnito,Cremis,Katress
Cawgnito,Depresso,Petallia
Cawgnito,Teafant,Blazehowl Noct
Cawgnito,Teafant,Vanwyrm
Cawgnito,Hoocrates,Foxcicle
Cawgnito,Loupmoon,Dazzi
Cawgnito,Leezpunk Ignis,Felbat
Cawgnito,Leezpunk Ignis,Robinquill
Cawgnito,Leezpunk,Gorirat
Cawgnito,Leezpunk,Galeclaw
Cawgnito,Cawgnito,Beegarde
Cawgnito,Cawgnito,Cawgnito
Cawgnito,Dumud,Kelpsea Ignis
Cawgnito,Dumud,Kelpsea
Cawgnito,Ribbuny,Broncherry Aqua
Cawgnito,Ribbuny,Digtoise
Cawgnito,Eikthyrdeer Terra,Kelpsea
Cawgnito,Melpaca,Kelpsea Ignis
Cawgnito,Melpaca,Kelpsea
Cawgnito,Hangyu Cryst,Rayhound
Cawgnito,Hangyu,Rayhound
Cawgnito,Gobfin Ignis,Vaelet
Cawgnito,Tombat,Flambelle
Cawgnito,Maraith,Felbat
Cawgnito,Lunaris,Vaelet
Cawgnito,Dazzi,Lovander
Cawgnito,Reindrix,Kelpsea Ignis
Cawgnito,Foxcicle,Flambelle
Cawgnito,Swee,Broncherry
Cawgnito,Swee,Digtoise
Cawgnito,Gorirat,Lunaris
Cawgnito,Robinquill Terra,Wixen
Cawgnito,Robinquill Terra,Maraith
Cawgnito,Wixen,Verdash
Cawgnito,Lamball,Katress Ignis
Cawgnito,Cattiva,Katress Ignis
Cawgnito,Chikipi,Bushi Noct
Cawgnito,Chikipi,Dogen
Cawgnito,Lifmunk,Shroomer
Cawgnito,Lifmunk,Shroomer Noct
Cawgnito,Tanzee,Lullu
Cawgnito,Jolthog,Chillet Ignis
Cawgnito,Jolthog,Croajiro
Cawgnito,Jolthog Cryst,Chillet Ignis
Cawgnito,Jolthog Cryst,Croajiro
Cawgnito,Teafant,Dogen
Cawgnito,Teafant,Dazemu
Cawgnito,Rushoar,Gorirat Terra
Cawgnito,Fuddler,Yakumo
Cawgnito,Mau,Dazemu
Cawgnito,Mau Cryst,Shroomer
Cawgnito,Hangyu,Shroomer Noct
Cawgnito,Hangyu Cryst,Shroomer Noct
Cawgnito,Leezpunk,Gorirat Terra
Cawgnito,Loupmoon,Mimog
Cawgnito,Galeclaw,Kikit
Cawgnito,Robinquill Terra,Wixen Noct
Cawgnito,Dazzi,Yakumo
Cawgnito,Kelpsea,Lullu
Cawgnito,Felbat,Wixen Noct
Cawgnito,Gorirat Terra,Kikit
Cawgnito,Cattiva,Nitemary
Cawgnito,Cremis,Nitemary
Cawgnito,Vixy,Nitemary
Cawgnito,Mau Cryst,Splatterina
Cawgnito,Lifmunk,Splatterina
Cawgnito,Lifmunk,Kitsun Noct
Cawgnito,Hangyu Cryst,Kitsun Noct
Cawgnito,Hangyu,Kitsun Noct
Cawgnito,Sparkit,Prunelia
Cawgnito,Flambelle,Prunelia
Cawgnito,Foxparks,Prunelia
Cawgnito,Jolthog Cryst,Loupmoon Cryst
Cawgnito,Pengullet,Celesdir
Cawgnito,Pengullet,Loupmoon Cryst
Cawgnito,Tocotoco,Celesdir
Cawgnito,Tocotoco,Tarantriss
Cawgnito,Fuack,Tarantriss
Cawgnito,Fuack,Fenglope Lux
Cawgnito,Bristla,Fenglope Lux
Cawgnito,Ribbuny,Caprity Noct
Cawgnito,Caprity Noct,Foxparks Cryst
Cawgnito,Swee,Caprity Noct
Cawgnito,Vaelet,Dazzi Noct
Cawgnito,Gorirat,Dazzi Noct
Cawgnito,Loupmoon,Ribbuny Botan
Cawgnito,Yakumo,Ribbuny Botan
Cawgnito,Eikthyrdeer,Smokie
Cawgnito,Mozzarina,Smokie
Cawgnito,Lullu,Smokie
Cawgnito,Broncherry,Foxparks Cryst
Cawgnito,Digtoise,Foxparks Cryst
Cawgnito,Herbil,Shroomer
Cawgnito,Herbil,Blazehowl
Cawgnito,Herbil,Nitemary
Cawgnito,Jellroy,Foxcicle
Cawgnito,Jellroy,Prunelia
Cawgnito,Jellroy,Croajiro Noct
Cawgnito,Jelliette,Petallia
